Latitude,Longitude,Postcode,Address (near)
1.35,103.8,286966,"Pan-Island Expressway, Bukit Timah, Northwest, 286966, Singapore"
1.38,103.8,678278,"Woodcutter's Trail, Central Water Catchment, Northwest, 678278, Singapore"
1.41,103.8,779393,"Mandai Park Connector, Rainforest Park North, Central Water Catchment, Northwest, 779393, Singapore"
1.44,103.8,730676,"672, Woodlands Drive 71, Woodlands, Northwest, 730676, Singapore"
1.32,103.8,266312,"Rebecca Road, Bukit Timah, Northwest, 266312, Singapore"
1.29,103.8,139533,"Rail Corridor, Queenstown, Singapore, Central, 139533, Singapore"
1.41,103.77,728654,"Mandai Road, Sungei Kadut, Northwest, 728654, Singapore"
1.41,103.74,729477,"58, Sungei Kadut Loop, Sungei Kadut Industrial Estate, Sungei Kadut, Singapore, Northwest, 729477, Singapore"
1.41,103.71,709831,"Ama Keng Road, Western Water Catchment, Southwest, 709831, Singapore"
1.41,103.68,709155,"Kampong Murai, Western Water Catchment, Southwest, 709155, Singapore"
1.41,103.83,769139,"Yishun Avenue 1, Springleaf, Central, 769139, Singapore"
1.41,103.86,798552,"Seletar Country Club, Seletar West Link, Seletar, Central, 798552, Singapore"
1.41,103.89,824322,"Seletar Link, Seletar, Central, 824322, Singapore"
1.41,103.92,821683,"Secondary Track, Punggol, Northeast, 821683, Singapore"
1.41,103.95,508309,"Ketam Mountain Bike Park, Jalan Wat Siam, North-Eastern Islands, Southeast, 508309, Singapore"
1.38,103.83,579528,"23, Iqbal Avenue, Ang Mo Kio, Singapore, Central, 579528, Singapore"
1.38,103.86,807953,"Seletar Hills, Singapore, Central, 807953, Singapore"
1.38,103.89,530566,"556, Serangoon Park Connector, Palmview Residence, Hougang, Northeast, 530566, Singapore"
1.38,103.92,520175,"Tampines Expressway, Paya Lebar, Northeast, 520175, Singapore"
1.38,103.95,518225,"Gallop Stable, 61, Elias Road, Pasir Ris, Singapore, Northeast, 518225, Singapore"
1.38,103.98,500002,"Changi Air Base (West), Telok Paku Road, Changi, Southeast, 500002, Singapore"
1.38,103.77,679002,"Zhenghua Primary School, 9, Fajar Road, Bukit Panjang, Singapore, Northwest, 679002, Singapore"
1.38,103.74,680406,"406, Choa Chu Kang Avenue 3, Choa Chu Kang, Singapore, Southwest, 680406, Singapore"
1.38,103.71,undefined,"Western Water Catchment, Southwest, Singapore"
1.38,103.68,709154,"Cemetery Central St 33, Western Water Catchment, Southwest, 709154, Singapore"
1.35,103.77,587976,"Wall Ruins (NBE), Upper Bukit Timah Road, Bukit Batok, Southwest, 587976, Singapore"
1.35,103.74,658965,"Millennia Institute, 60, Bukit Batok West Avenue 8, Bukit Batok, Singapore, Southwest, 658965, Singapore"
1.35,103.71,649962,"Gift of Love Home, 35, Boon Lay Avenue, Boon Lay, Jurong West, Singapore, Southwest, 649962, Singapore"
1.35,103.68,639798,"Nanyang Technological University, Nanyang Avenue, Western Water Catchment, Southwest, 639798, Singapore"
1.35,103.65,639937,"Western Water Catchment, Southwest, 639937, Singapore"
1.35,103.83,135,"Petai Trail, Upper Thomson, Singapore, Central, 135, Singapore"
1.35,103.86,359397,"The Chuan, Lorong Chuan, Serangoon, Southeast, 359397, Singapore"
1.35,103.89,539539,"Maple Tree, 85, Hougang Avenue 3, Hougang, Northeast, 539539, Singapore"
1.35,103.92,529781,"Fishermans Path, Paya Lebar, Northeast, 529781, Singapore"
1.35,103.95,520271,"271, Tampines Street 21, Tampines, Singapore, Northeast, 520271, Singapore"
1.35,103.98,819663,"A17, Airport Boulevard, Changi, Singapore, Southeast, 819663, Singapore"
1.35,104.01,498738,"Changi, Southeast, 498738, Singapore"
1.44,103.83,751380,"46, Canberra Drive, Sembawang, Singapore, Northwest, 751380, Singapore"
1.32,103.83,259726,"Swiss Cottage Sch, Dunearn Road, Novena, Singapore, Central, 259726, Singapore"
1.32,103.86,321107,"107, Towner Road, Kallang, Singapore, Central, 321107, Singapore"
1.32,103.89,389932,"Guthrie Engineering, 6, Aljunied Avenue 3, Geylang, Singapore, Southeast, 389932, Singapore"
1.32,103.92,456085,"Siglap Hill, Bedok, Southeast, 456085, Singapore"
1.32,103.95,461153,"Kew Walk, Bedok, Southeast, 461153, Singapore"
1.32,103.98,499739,"Coastal Park Connector, Tanah Merah, Southeast, 499739, Singapore"
1.32,104.01,498736,"On-Road Cycling Lane, Changi Bay, Southeast, 498736, Singapore"
1.32,103.77,126786,"Van Kleef Aquatic Science Centre, 3, Albert Winsemius Lane, Clementi, Singapore, Northwest, 126786, Singapore"
1.32,103.74,600047,"47, Teban Gardens Road, Teban Gardens, Ayer Rajah, Singapore, Southwest, 600047, Singapore"
1.32,103.71,628925,"Bird Park Drive, Boon Lay, Southwest, 628925, Singapore"
1.32,103.68,628117,"Before Benoi Road, Benoi Sector, Pioneer, Southwest, 628117, Singapore"
1.32,103.65,639441,"Pioneer Road, Tuas, Southwest, 639441, Singapore"
1.29,103.77,129803,"West Coast Park, West Coast Highway, Queenstown, Southwest, 129803, Singapore"
1.29,103.83,169640,"Indus Road, Bukit Merah, Singapore, Central, 169640, Singapore"
1.29,103.86,39799,"7, Raffles Avenue, Downtown Core, Singapore, Central, 039799, Singapore"
1.27,103.815,98721,"Fuel Plus, Wishart Road, Bukit Merah, Singapore, Central, 098721, Singapore"
1.249,103.83,99892,"Sentosa Golf Club, 27, Bukit Manis Road, Southern Islands, Singapore, Southwest, 099892, Singapore"
