"","geometry.location.lat","geometry.location.lng","geometry.viewport.northeast.lat","geometry.viewport.northeast.lng","geometry.viewport.southwest.lat","geometry.viewport.southwest.lng","business_status","name","place_id","plus_code.compound_code","plus_code.global_code","vicinity","rating","permanently_closed"
"1",  1.330933,103.799107,  1.332188,103.800362,  1.329490,103.797664,"OPERATIONAL","Shell","ChIJPxkQ5aEQ2jERdkapcj4Gj_Q",8QJX+9J Singapore,6PH58QJX+9J,"648 Dunearn Road",3.8,NA
"2",  1.332993,103.790384,  1.334476,103.791780,  1.331778,103.789082,"OPERATIONAL","7-Eleven + Mr Softee","ChIJc3gDpZsQ2jERBTx5b6u6eNs",8QMR+55 Singapore,6PH58QMR+55,"Bukit Timah Road, No.901",1.9,NA
"3",  1.331059,103.795158,  1.332397,103.796542,  1.329699,103.793844,"OPERATIONAL","7-Eleven","ChIJwYEu154Q2jER3_DQUttS4Qg",8QJW+C3 Singapore,6PH58QJW+C3,"Sixth Avenue, No.6",2.0,NA
"4",  1.338605,103.776915,  1.339911,103.778419,  1.337213,103.775721,"OPERATIONAL","Shell","ChIJm7_KSogQ2jERVnPt5NL5SJ8",8QQG+CQ Singapore,6PH58QQG+CQ,"35 Upper Bukit Timah Road",4.0,NA
"5",  1.339922,103.773874,  1.341215,103.775190,  1.338517,103.772492,"OPERATIONAL","7-Eleven + Mr Softee","ChIJMdBuFWIQ2jERFl7NvNuJp4w",8QQF+XG Singapore,6PH58QQF+XG,"19 Toh Yi Drive, #01-117",4.0,NA
"6",  1.335220,103.786800,  1.336510,103.788037,  1.333812,103.785339,"OPERATIONAL","Caltex Binjai Park","ChIJWU0lS4UQ2jERmHbJY9537aY",8QPP+3P Singapore,6PH58QPP+3P,"836 Dunearn Road",4.1,NA
"7",  1.334556,103.810049,  1.335986,103.811452,  1.333288,103.808754,"OPERATIONAL","Yan'S Shop","ChIJyf7yia8Q2jERIPs3ntHJ1lo",8RM6+R2 Singapore,6PH58RM6+R2,"251A Arcadia Road, #02 09A",NA,NA
"8",  1.336531,103.787035,  1.337893,103.788415,  1.335195,103.785717,"OPERATIONAL","Ryan's Grocery","ChIJJU4GBJAQ2jERTxqkW9Y4qcc",8QPP+JR Singapore,6PH58QPP+JR,"29 Binjai Park, Singapore",3.1,NA
"9",  1.331033,103.798838,  1.332267,103.800146,  1.329569,103.797448,"OPERATIONAL","Cheers","ChIJKY0JDaoR2jERJfcWhu4w5zg",8QJX+CG Singapore,6PH58QJX+CG,"650 Dunearn Road",3.0,NA
"10",  1.336212,103.786905,  1.337598,103.788291,  1.334900,103.785593,"OPERATIONAL","FairPrice Xpress","ChIJ1_4wpwsR2jER5LqBqRieK2w",8QPP+FQ Singapore,6PH58QPP+FQ,"15 Binjai Park",NA,NA
