,geometry.location.lat,geometry.location.lng,geometry.viewport.northeast.lat,geometry.viewport.northeast.lng,geometry.viewport.southwest.lat,geometry.viewport.southwest.lng,business_status,name,place_id,plus_code.compound_code,plus_code.global_code,vicinity
1,1.330022,103.799,1.33141,103.800363,1.328712,103.797665,OPERATIONAL,ESSO BUKIT TIMAH,ChIJvzBVv6EQ2jERVBl_kYx-pEI,8QJX+2H Singapore,6PH58QJX+2H,751 Bukit Timah Road
2,1.330933,103.799107,1.332188,103.800362,1.32949,103.797664,OPERATIONAL,Shell,ChIJPxkQ5aEQ2jERdkapcj4Gj_Q,8QJX+9J Singapore,6PH58QJX+9J,648 Dunearn Road
3,1.328216,103.813702,1.329564,103.815063,1.326866,103.812365,OPERATIONAL,SPC Adam,ChIJp7obuqkQ2jERTkEJMsRMvv4,8RH7+7F Singapore,6PH58RH7+7F,31 Adam Road
4,1.328205,103.813716,1.329481,103.815124,1.326783,103.812426,OPERATIONAL,SPC Petrol Station,ChIJrfPWuqkQ2jERsnCsAcfFXi8,8RH7+7F Singapore,6PH58RH7+7F,31 Adam Road
5,1.338605,103.776915,1.339911,103.778419,1.337213,103.775721,OPERATIONAL,Shell,ChIJm7_KSogQ2jERVnPt5NL5SJ8,8QQG+CQ Singapore,6PH58QQG+CQ,35 Upper Bukit Timah Road
6,1.339955,103.774777,1.341354,103.776201,1.338656,103.773503,OPERATIONAL,ESSO JURONG KECHIL,ChIJsfnoDGIQ2jERXxSrunIYCEA,8QQF+XW Singapore,6PH58QQF+XW,37 Jalan Jurong Kechil
7,1.331029,103.798668,1.332291,103.799987,1.329593,103.797289,OPERATIONAL,ESSO DUNEARN,ChIJv9FC_KEQ2jERpiV50sDEnos,8QJX+CF Singapore,6PH58QJX+CF,650 Dunearn Road
8,1.33522,103.7868,1.33651,103.788037,1.333812,103.785339,OPERATIONAL,Caltex Binjai Park,ChIJWU0lS4UQ2jERmHbJY9537aY,8QPP+3P Singapore,6PH58QPP+3P,836 Dunearn Road
9,1.330872,103.799066,1.332228,103.800418,1.32953,103.79772,CLOSED_TEMPORARILY,Blu-Bonetz,ChIJu1Y25aEQ2jERuRvGZvFU2pI,8QJX+8J Singapore,6PH58QJX+8J,No. 648 Dunearn Road
10,1.33865,103.776898,1.340012,103.778157,1.337315,103.775459,OPERATIONAL,Richmotor Auto Services,ChIJGSzYyssZ2jERogYtRBsnJ2M,8QQG+FQ Singapore,6PH58QQG+FQ,35 Upper Bukit Timah Road
11,1.328197,103.81372,1.329545,103.815061,1.326847,103.812363,OPERATIONAL,SINGAPORE PETROLEUM COMPANY LIMITED,ChIJvQscuqkQ2jERYwVaRBKkIfU,8RH7+7F Singapore,6PH58RH7+7F,31 Adam Road
12,1.345867,103.772154,1.34731,103.773649,1.344612,103.770951,OPERATIONAL,Shell,ChIJ7Yu8K14Q2jERC-7fDI6Eums,8QWC+8V Singapore,6PH58QWC+8V,219 Upper Bukit Timah Road
13,1.324801,103.80863,1.326301,103.810082,1.323603,103.807384,OPERATIONAL,Sinopec Bukit Timah,ChIJ3ek_uDgb2jERH_bUmFEJ6uQ,8RF5+WF Singapore,6PH58RF5+WF,623A Bukit Timah Road
14,1.345125,103.773392,1.346532,103.774779,1.343834,103.772081,OPERATIONAL,ESSO UPPER BUKIT TIMAH A,ChIJA7vwcmAQ2jERRoDtYCn5Wd0,8QWF+29 Singapore,6PH58QWF+29,"SG, Upper Bukit Timah Road, 213"
15,1.357934,103.828421,1.359306,103.829803,1.356608,103.827105,OPERATIONAL,ESSO WINDSOR,ChIJ9_Z6DLcX2jERVV8KFEIuxrY,9R5H+59 Singapore,6PH59R5H+59,353 Upper Thomson Road
