"","geometry.location.lat","geometry.location.lng","geometry.viewport.northeast.lat","geometry.viewport.northeast.lng","geometry.viewport.southwest.lat","geometry.viewport.southwest.lng","business_status","name","place_id","plus_code.compound_code","plus_code.global_code","vicinity","rating","permanently_closed"
"1",  1.342022,103.775249,  1.343314,103.776597,  1.340616,103.773899,"OPERATIONAL","Domino's Pizza Bukit Timah","ChIJSVcs4GEQ2jERUe1TuKGYAbI",8QRG+R3 Singapore,6PH58QRG+R3,"8 Chun Tin Road",4.2,NA
"2",  1.345268,103.796321,  1.346626,103.797718,  1.343928,103.795020,"OPERATIONAL","Picotin - Fairways","ChIJX91_zOoQ2jERMlzHv6sD6dM",8QWW+4G Singapore,6PH58QWW+4G,"60 Fairways Drive",4.1,NA
"3",  1.337093,103.779420,  1.338196,103.780597,  1.335498,103.777899,"OPERATIONAL","EagleWings Loft","ChIJl6N0kIgQ2jERi2bx8pudhfU",8QPH+RQ Singapore,6PH58QPH+RQ,"9 King Albert Park, #01-33/34/56/57 KAP Residences Mall",4.4,NA
"4",  1.345228,103.773194,  1.346720,103.774628,  1.344022,103.771930,"OPERATIONAL","Delifrance Singapore - Upper Bukit Timah Express Corner","ChIJI4NjcGAQ2jERzDQH-az1zWY",8QWF+37 Singapore,6PH58QWF+37,"Upper Bukit Timah Road",1.0,NA
"5",  1.331363,103.795191,  1.332866,103.796581,  1.330168,103.793883,"OPERATIONAL","Omar Shariff Authentic Indian Cuisine","ChIJAZAy054Q2jERqEsexqFI1Ps",8QJW+G3 Singapore,6PH58QJW+G3,"805 Bukit Timah Road, #01-02 Sixth Avenue Center",4.0,NA
"6",  1.335806,103.786541,  1.337112,103.787884,  1.334414,103.785186,"OPERATIONAL","Capri Trattoria & Pizzeria","ChIJ5cqIU4UQ2jERr9n4Ngpbajk",8QPP+8J Singapore,6PH58QPP+8J,"3 Binjai Park",4.2,NA
"7",  1.337730,103.793542,  1.339178,103.795083,  1.336480,103.792385,"OPERATIONAL","Napolizz Pizza (GrandStand)","ChIJV-B_5JAR2jERhshN1jt1f28",8QQV+3C Singapore,6PH58QQV+3C,"#01-15B, 200 Turf Club Road",4.7,NA
"8",  1.331395,103.795124,  1.332689,103.796468,  1.329991,103.793770,"OPERATIONAL","Indian Curry House (Sixth AVENUE)","ChIJQ6vp0p4Q2jERP7DoFs_sID8",8QJW+H2 Singapore,6PH58QJW+H2,"805 Bukit Timah Road, #01-03 Sixth Avenue Center",4.2,NA
"9",  1.338860,103.778619,  1.340217,103.779972,  1.337519,103.777274,"OPERATIONAL","Jollibean","ChIJlW9JAYkQ2jERFZfLaa4Ed1Y",8QQH+GC Singapore,6PH58QQH+GC,"1 Jalan Anak Bukit, Singapore",2.0,NA
"10",  1.342779,103.775295,  1.344131,103.776662,  1.341433,103.773964,"OPERATIONAL","Tenderfresh Classic @ Cheong Chin Nam","ChIJbYHDdYoQ2jER-mZqVXUyGLo",8QVG+44 Singapore,6PH58QVG+44,"9 Cheong Chin Nam Road",4.2,NA
"11",  1.323919,103.809989,  1.325234,103.811513,  1.322536,103.808815,"OPERATIONAL","Hillcrest Grubs","ChIJ93yTXN8b2jERm-5-J-bSNC4",8RF5+HX Singapore,6PH58RF5+HX,"587 Bukit Timah Road 03-06/07, Coronation Shopping Plaza",4.9,NA
"12",  1.323107,103.811166,  1.324524,103.812545,  1.321826,103.809848,"OPERATIONAL","Domino's Pizza Crown Centre","ChIJmYN5FgYa2jERklctRwWCSD8",8RF6+6F Singapore,6PH58RF6+6F,"557 Bukit Timah Road, #01-04/05, Crown Centre",3.8,NA
"13",  1.323107,103.811166,  1.324524,103.812545,  1.321826,103.809848,"OPERATIONAL","Pizza Hut Delivery - Crown Centre","ChIJY-qoFQYa2jERlE5YUDD0KCg",8RF6+6F Singapore,6PH58RF6+6F,"557 Bukit Timah Road, #01-17/18 Crown Centre",3.6,NA
"14",  1.331851,103.776814,  1.333200,103.778163,  1.330502,103.775465,"OPERATIONAL","Old Chang Kee @ Ngee Ann Poly","ChIJS0cBbhAR2jERCU4lpdHjpz4",8QJG+PP Singapore,6PH58QJG+PP,"535 Blk 73 Clementi Road #01, #01B",4.3,NA
"15",  1.404596,103.790521,  1.405965,103.791636,  1.403267,103.788938,"OPERATIONAL","KFC","ChIJD-HIEdkT2jERtRxQVCaCWcM",CQ3R+R6 Singapore,6PH5CQ3R+R6,"80 Mandai Lake Road, Singapore Zoo",3.2,NA
"16",  1.376836,103.828039,  1.378183,103.829353,  1.375485,103.826655,"OPERATIONAL","Tamako Meal","ChIJiWfImc4W2jEReWB9DY-7s9c",9RGH+P6 Singapore,6PH59RGH+P6,"128 Casuarina Road",4.4,NA
"17",  1.375765,103.828977,  1.377102,103.830084,  1.374404,103.827386,"OPERATIONAL","My NoNNa's","ChIJ6QXVQN882jER7NArKTKpe6I",9RGH+8H Singapore,6PH59RGH+8H,"600 Upper Thomson Road, Level 1 Block E",4.7,NA
"18",  1.437300,103.795130,  1.438494,103.796462,  1.435796,103.793764,"OPERATIONAL","Pizza Hut Delivery - Woodlands 888","ChIJ6_9d9qAT2jERGpZEdrBpCvc",CQPW+W3 Singapore,6PH5CQPW+W3,"888 Woodlands Drive 50, #01-729",3.6,NA
"19",  1.436018,103.786427,  1.437114,103.787695,  1.434416,103.784248,"OPERATIONAL","KFC","ChIJq6bvoqgT2jERZEWDFdr5UuQ",CQPP+CH Singapore,6PH5CQPP+CH,"1 Woodlands Square, #01 - 40 Causeway Point, Singapore",3.9,NA
"20",  1.436093,103.785947,  1.437320,103.787526,  1.434622,103.784829,"OPERATIONAL","Pezzo Woodlands Xchange","ChIJUTmI1KcT2jEReTECJVr1IYk",CQPP+C9 Singapore,6PH5CQPP+C9,"1 Woodlands Square, #B1, K16 Causeway Point",3.1,NA
"21",  1.436295,103.786248,  1.437430,103.787672,  1.434732,103.784974,"OPERATIONAL","Dough Culture","ChIJq6bvoqgT2jERGt3nTcK1Hjs",CQPP+GF Singapore,6PH5CQPP+GF,"1 Woodlands Square, #01-K08 Causeway Point",3.9,NA
