"","geometry.location.lat","geometry.location.lng","geometry.viewport.northeast.lat","geometry.viewport.northeast.lng","geometry.viewport.southwest.lat","geometry.viewport.southwest.lng","business_status","name","place_id","plus_code.compound_code","plus_code.global_code","vicinity","rating","permanently_closed"
"1",  1.354056,103.776945,  1.358624,103.777799,  1.340354,103.774383,"OPERATIONAL","Bukit Timah Nature Reserve","ChIJO9cemPUQ2jERvlh8KtwhtAc",9Q3G+JQ Singapore,6PH59Q3G+JQ,"Hindhede Drive",4.5,NA
"2",  1.360729,103.812522,  1.364492,103.816676,  1.353182,103.808811,"OPERATIONAL","TreeTop Walk","ChIJ3wysGNcQ2jERfWy5UZcW7mY",9R67+72 Singapore,6PH59R67+72,"601 Island Club Road",4.6,NA
"3",  1.330620,103.812638,  1.331954,103.813924,  1.329256,103.811226,"OPERATIONAL","Adam Park","ChIJH7CN3qgQ2jERTOCWAIg0V9c",8RJ7+63 Singapore,6PH58RJ7+63,"Adam Park",2.5,NA
"4",  1.348909,103.775735,  1.349820,103.777344,  1.347122,103.774646,"OPERATIONAL","Hindhede Nature Park","ChIJq_5RjPUQ2jERQZR7bzih7tw",8QXG+H7 Singapore,6PH58QXG+H7,"Hindhede Drive",4.5,NA
"5",  1.324080,103.805386,  1.325366,103.806712,  1.322668,103.804014,"OPERATIONAL","Duchess Park","ChIJ4SxicQka2jERkF58tsKLHWo",8RF4+J5 Singapore,6PH58RF4+J5,"38 Duchess Avenue",4.2,NA
"6",  1.364018,103.776397,  1.365409,103.777758,  1.362711,103.775060,"OPERATIONAL","Dairy Farm Nature Park","ChIJ-f__r6oR2jER5UiO6z8HpQM",9Q7G+JH Singapore,6PH59Q7G+JH,"100 Dairy Farm Road",4.5,NA
"7",  1.343165,103.776035,  1.344787,103.777323,  1.342089,103.774625,"OPERATIONAL","Eco City Hydroponics","ChIJd1Hg8egR2jERUh5FHQDFKVw",8QVG+7C Singapore,6PH58QVG+7C,"170 Upper Bukit Timah Road, #05-21, Singapore",3.6,NA
"8",  1.356237,103.801520,  1.357562,103.802875,  1.354864,103.800177,"OPERATIONAL","Rifle Range Link","ChIJAQyq4dwQ2jERqd1UZ-L--rI",9R42+FJ Singapore,6PH59R42+FJ,"Rifle Range Road",4.6,NA
"9",  1.337648,103.793602,  1.339051,103.795148,  1.336353,103.792450,"OPERATIONAL","SolarGator (S) Pte Ltd","ChIJScttw1wR2jERgvlzfV3uEd0",8QQV+3C Singapore,6PH58QQV+3C,"200 Turf Club Road, #01 10A",4.9,NA
"10",  1.348513,103.786093,  1.349874,103.787457,  1.347176,103.784759,"CLOSED_TEMPORARILY","Kampong Trail","ChIJz-Hb9_IQ2jERuuz_ckn03EQ",8QXP+CC Singapore,6PH58QXP+CC,"Jalan Kampong Chantek",4.3,TRUE
"11",  1.346619,103.784589,  1.348452,103.785381,  1.345754,103.782683,"OPERATIONAL","Durian Loop","ChIJC2Dd3PIQ2jEROUPjzePLMsk",8QWM+JR Singapore,6PH58QWM+JR,"Rifle Range Road",3.7,NA
"12",  1.334270,103.795543,  1.335655,103.796974,  1.332957,103.794276,"OPERATIONAL","THE SOURSOP LADY NURSEY WORKSHOP","ChIJUwBLbZAV2jER5koHVpdZBaM",8QMW+P6 Singapore,6PH58QMW+P6,"100 Turf Club Road, HORSECITY, Singapore",NA,NA
"13",  1.356713,103.783563,  1.358062,103.784912,  1.355364,103.782214,"OPERATIONAL","Eco-Link @ BKE","ChIJKdsbWvoQ2jER0kNDtM9MsPs",9Q4M+MC Singapore,6PH59Q4M+MC,"Bukit Timah Expressway",4.3,NA
"14",  1.338615,103.786036,  1.339944,103.787332,  1.337246,103.784634,"OPERATIONAL","Sian Tuan Interim Park","ChIJLdPJMo4Q2jERHVVNIRTZY5Y",8QQP+CC Singapore,6PH58QQP+CC,"Sian Tuan Avenue",3.9,NA
"15",  1.353283,103.818418,  1.354632,103.819767,  1.351934,103.817069,"OPERATIONAL","Central Catchment Nature Reserve","ChIJDR2Au0sX2jERt1iFDZAqk70",9R39+89 Singapore,6PH59R39+89,"park",4.5,NA
"16",  1.344783,103.782010,  1.346132,103.783359,  1.343434,103.780661,"CLOSED_TEMPORARILY","Rifle Range Nature Park","ChIJR9wDuIwQ2jERp5g9l0m9MQ0",8QVJ+WR Singapore,6PH58QVJ+WR,"Rifle Range Road",4.6,TRUE
"17",  1.353241,103.819571,  1.354590,103.820920,  1.351892,103.818223,"OPERATIONAL","MacRitchie Nature Trail","ChIJzzfgIHoR2jERZ7WR7zp0ix8",9R39+7R Singapore,6PH59R39+7R,"MacRitchie Natural Trail",5.0,NA
"18",  1.352083,103.819836,  1.353432,103.821185,  1.350734,103.818487,"OPERATIONAL","Nature Reserve Catchment","ChIJuUqiod8R2jEROs8cZ4RLu9M",9R29+RW Singapore,6PH59R29+RW,"Singapore",NA,NA
"19",  1.352083,103.819836,  1.353432,103.821185,  1.350734,103.818487,"OPERATIONAL","موضف","ChIJn1vO-CMR2jERr-WMV2dWY_Y",9R29+RW Singapore,6PH59R29+RW,"mostganm",NA,NA
"20",  1.331237,103.793143,  1.332596,103.794459,  1.329898,103.791761,"OPERATIONAL","Maple Lane Park","ChIJRU8Sh-UR2jERz3F7MizYne4",8QJV+F7 Singapore,6PH58QJV+F7,"Along Maple Lane, adjacent to, Bukit Timah Road",4.3,NA
"21",  1.341478,103.780831,  1.342856,103.782803,  1.340158,103.778831,"OPERATIONAL","Mayfair Park","ChIJFbEX-YsQ2jERP186ekWXmDM",8QRJ+H8 Singapore,6PH58QRJ+H8,"Jalan Gaharu",4.3,NA
"22",  1.338010,103.817490,  1.338991,103.819943,  1.336293,103.816672,"OPERATIONAL","End of Lornie trail","ChIJYQNqN2wR2jERnKQfZfrFmP0",8RQ8+6X Singapore,6PH58RQ8+6X,"Near, Lornie Road",4.7,NA
"23",  1.343252,103.820370,  1.344601,103.821719,  1.341904,103.819021,"OPERATIONAL","Chemperai Trail","ChIJYf1c7i8R2jERVieYvGP-gDw",8RVC+84 Singapore,6PH58RVC+84,"MacRitchie Reservoir",5.0,NA
"24",  1.329935,103.792385,  1.331290,103.793720,  1.328592,103.791022,"OPERATIONAL","Eden Park","ChIJsQ3zJpwQ2jERim-hLB2uR5k",8QHR+XX Singapore,6PH58QHR+XX,"7 Maple Lane, Singapore",NA,NA
"25",  1.350209,103.778117,  1.351531,103.778981,  1.346244,103.775527,"OPERATIONAL","Kruing Hut","ChIJ06gIjAgR2jERvbMgcq2cBgA",9Q2H+36 Singapore,6PH59Q2H+36,"177 Hindhede Drive, Singapore",4.3,NA
"26",  1.353153,103.778159,  1.354502,103.779508,  1.351804,103.776810,"OPERATIONAL","Catchment Path","ChIJS9_vsWYR2jERrut02N6yZ1E",9Q3H+77 Singapore,6PH59Q3H+77,"Hindhede Drive",4.5,NA
"27",  1.358885,103.820250,  1.360321,103.821503,  1.357623,103.818805,"OPERATIONAL","Drongo Trail","ChIJ86rN4nIR2jERX9-kSzFbvo0",9R5C+H3 Singapore,6PH59R5C+H3,"Island Club Road",4.2,NA
"28",  1.339853,103.780156,  1.341246,103.781470,  1.338549,103.778772,"OPERATIONAL","Jalan Bangket Garden","ChIJ1yS11ToR2jERJSXXg6SiZ5Q",8QQJ+W3 Singapore,6PH58QQJ+W3,"4 Jalan Bangket",4.0,NA
"29",  1.339186,103.780404,  1.340557,103.781787,  1.337859,103.779089,"OPERATIONAL","Rail Corridor (Rifle Range)","ChIJrToiYTkR2jERPFlfsP41YFI",8QQJ+M5 Singapore,6PH58QQJ+M5,"31W Rifle Range Road, Singapore",4.3,NA
"30",  1.340560,103.779380,  1.341909,103.780729,  1.339211,103.778031,"OPERATIONAL","Access dirt path","ChIJcYJbtGsR2jERqEmxF9SWHhs",8QRH+6Q Singapore,6PH58QRH+6Q,"Rail Corridor @",NA,NA
"31",  1.348602,103.776995,  1.349643,103.778072,  1.346945,103.775374,"OPERATIONAL","Bukit Timah Nature Reserve, BTNR Hindhede","ChIJ5VFv-_MQ2jER_17bepH3PXY",8QXG+CQ Singapore,6PH58QXG+CQ,"",4.6,NA
"32",  1.335892,103.818458,  1.337201,103.819791,  1.334503,103.817094,"OPERATIONAL","PCN - Lornie Nature Corridor","ChIJm1VNee8R2jERjxs5RrZ6FJ0",8RP9+99 Singapore,6PH58RP9+99,"20 Sime Road, Singapore",4.8,NA
"33",  1.328171,103.790892,  1.329568,103.792340,  1.326870,103.789642,"OPERATIONAL","Garlick Lookout Point","ChIJBfwq5wIR2jER2Mq58DV_JI0",8QHR+79 Singapore,6PH58QHR+79,"",4.0,NA
"34",  1.372367,103.808435,  1.374053,103.809939,  1.371355,103.803921,"OPERATIONAL","Upper Peirce Reservoir","ChIJJ7FiDQgR2jERtP58c5u1v5U",9RC5+W9 Singapore,6PH59RC5+W9,"Old Upper Thomson Road",4.6,NA
"35",  1.327891,103.790612,  1.329240,103.791961,  1.326542,103.789263,"OPERATIONAL","Holland Green Linear Park (Eastern End)","ChIJJ0fe_28R2jERUO4MzGujS-g",8QHR+56 Singapore,6PH58QHR+56,"",5.0,NA
"36",  1.354674,103.776441,  1.356023,103.777790,  1.353325,103.775092,"OPERATIONAL","Bukit Timah Summit","ChIJ-92V8_cQ2jERVW-SShTyP_k",9Q3G+VH Singapore,6PH59Q3G+VH,"Bukit Timah Road",4.6,NA
"37",  1.349207,103.775744,  1.350556,103.777093,  1.347858,103.774395,"OPERATIONAL","Reflexology Walk","ChIJSUE7yscR2jERSKwUqYEBx3I",8QXG+M7 Singapore,6PH58QXG+M7,"Hindhede Drive, Hindhede Nature Park",5.0,NA
"38",  1.348535,103.775726,  1.349617,103.777317,  1.346919,103.774619,"OPERATIONAL","Waringin Hut","ChIJpQb08ksR2jERTc5gwrgwrDc",8QXG+C7 Singapore,6PH58QXG+C7,"177 Hindhede Drive",4.0,NA
"39",  1.331010,103.784707,  1.332177,103.785855,  1.329479,103.783157,"OPERATIONAL","Big field","ChIJ60WRdcwR2jER3-06i6iUugA",8QJM+CV Singapore,6PH58QJM+CV,"",NA,NA
"40",  1.326698,103.807614,  1.328184,103.809871,  1.325486,103.805483,"OPERATIONAL","Bougainvillea Park","ChIJz_LlfqcQ2jERY47PB29X2Xc",8RG5+M2 Singapore,6PH58RG5+M2,"500 Dunearn Road",4.2,NA
"41",  1.360516,103.777823,  1.361865,103.779172,  1.359167,103.776474,"OPERATIONAL","Wallace Trail","ChIJ7YklXxQR2jERFgZJ8Am6IiE",9Q6H+64 Singapore,6PH59Q6H+64,"19B Hillview Avenue",4.4,NA
"42",  1.360432,103.822384,  1.362089,103.823778,  1.359391,103.821080,"OPERATIONAL","Venus Link","ChIJR3zMde0X2jERBS0asMNmPiE",9R6C+5X Singapore,6PH59R6C+5X,"Island Club Road, Squirrel Trail",5.0,NA
"43",  1.334612,103.819830,  1.336129,103.821099,  1.333431,103.818401,"OPERATIONAL","Lornie Nature Corridor","ChIJMT47bPoR2jERa8qnkG0Gamg",8RM9+RW Singapore,6PH58RM9+RW,"Bef, Kheam Hock Road",4.6,NA
"44",  1.328737,103.786466,  1.330540,103.787799,  1.327842,103.785101,"OPERATIONAL","Old Holland Road Big Field","ChIJgboyLIMQ2jERHhZC1NSbyOs",8QHP+FH Singapore,6PH58QHP+FH,"Old Holland Road",4.5,NA
"45",  1.344884,103.775014,  1.346210,103.776362,  1.343512,103.773664,"OPERATIONAL","PCN Coast to Coast CP3","ChIJyc-xEjsR2jERG0Azm6bqTyo",8QVG+X2 Singapore,6PH58QVG+X2,"83E Hindhede Road, Singapore",5.0,NA
"46",  1.360423,103.823452,  1.361998,103.824842,  1.359300,103.822144,"OPERATIONAL","Squirrel Trail","ChIJJeJKxtoX2jERyhUl6Pp-r3c",9R6F+59 Singapore,6PH59R6F+59,"Island Club Road",4.4,NA
"47",  1.334376,103.779527,  1.335727,103.780845,  1.333029,103.778147,"OPERATIONAL","9 King Albert Park #01-20","ChIJgZ5VlogQ2jERWBvhDqFN4bs",NA,NA,"King Albert Park",NA,NA
"48",  1.360971,103.823329,  1.362294,103.824674,  1.359596,103.821976,"OPERATIONAL","Green Patch","ChIJYcIGxJ8X2jERDKz8cXS0jOo",9R6F+98 Singapore,6PH59R6F+98,"Island Club Road",5.0,NA
"49",  1.358843,103.824418,  1.359920,103.825931,  1.357222,103.823233,"OPERATIONAL","Venus Walk","ChIJmZuqlS8X2jERKyRVrYK8Bk0",9R5F+GQ Singapore,6PH59R5F+GQ,"23 Libra Drive, Singapore",4.3,NA
"50",  1.372874,103.813035,  1.374898,103.813758,  1.372199,103.810864,"OPERATIONAL","Lower Peirce Reservoir PUB pump houses","ChIJLfQcsjYR2jER_z-1QTTkMuU",9RF7+46 Singapore,6PH59RF7+46,"Old Upper Thomson Road",4.0,NA
"51",  1.368353,103.780739,  1.369702,103.782088,  1.367004,103.779390,"OPERATIONAL","Munia hut","ChIJSaKlSiMR2jERZ5P0gS8_cCc",9Q9J+87 Singapore,6PH59Q9J+87,"Bukit Timah Expressway, Small Pond",5.0,NA
"52",  1.374659,103.811246,  1.376473,103.812458,  1.373775,103.809760,"OPERATIONAL","Upper Peirce Reservoir Park","ChIJ59JC2zAR2jERBRxd5jtZKL8",9RF6+VF Singapore,6PH59RF6+VF,"Along Old Upper Thomson Road",4.6,NA
"53",  1.358826,103.825807,  1.360170,103.827248,  1.357472,103.824550,"OPERATIONAL","Venus Loop","ChIJ-7sWArsX2jERdF_V7-5GOLg",9R5G+G8 Singapore,6PH59R5G+G8,"23 Leo Drive, Singapore",5.0,NA
"54",  1.366950,103.778491,  1.368299,103.779839,  1.365601,103.777142,"OPERATIONAL","Belukar Trail","ChIJ1ZMinb8R2jERbQ4zqG9Ft0g",9Q8H+Q9 Singapore,6PH59Q8H+Q9,"Singapore",4.7,NA
"55",  1.343817,103.773143,  1.345253,103.774386,  1.342555,103.771688,"OPERATIONAL","Hoover Park","ChIJyfX7W2AQ2jERk-3vxTfK55w",8QVF+G7 Singapore,6PH58QVF+G7,"Lorong Pisang Batu, Singapore",4.2,NA
"56",  1.326571,103.785411,  1.327695,103.786642,  1.324997,103.783944,"OPERATIONAL","Holland Green Linear Park","ChIJA2W4Lp4b2jER0VyP0r_aAZk",8QGP+J5 Singapore,6PH58QGP+J5,"10 Holland Green",4.7,NA
"57",  1.330313,103.819515,  1.331687,103.820943,  1.328989,103.818245,"OPERATIONAL","Kheam Hock Park","ChIJqaJxbasQ2jERJYIZqHtKkFo",8RJ9+4R Singapore,6PH58RJ9+4R,"Kheam Hock Road",4.5,NA
"58",  1.352850,103.827648,  1.354724,103.829217,  1.352026,103.826519,"OPERATIONAL","Rambai Hut","ChIJRYDT2dYX2jERh--ZaDbZQuM",9R3H+43 Singapore,6PH59R3H+43,"Marigold Drive",4.6,NA
"59",  1.321930,103.801903,  1.323331,103.803149,  1.320633,103.800451,"OPERATIONAL","Victoria Park playground","ChIJN57FYUkb2jERUqNK1PLx5e4",8RC2+QQ Singapore,6PH58RC2+QQ,"56B Victoria Park Road, Singapore",NA,NA
"60",  1.328753,103.781435,  1.330102,103.782784,  1.327404,103.780086,"OPERATIONAL","Rail Corridor","ChIJZ7szL4IQ2jEROtrhM5Cj2as",8QHJ+GH Singapore,6PH58QHJ+GH,"",4.5,NA
"61",  1.402187,103.788061,  1.405651,103.790281,  1.401033,103.787320,"OPERATIONAL","Night Safari","ChIJ9xUuiNcT2jER49FS2OpE8W8",CQ2Q+V6 Singapore,6PH5CQ2Q+V6,"80 Mandai Lake Road",4.2,NA
"62",  1.403186,103.790688,  1.405363,103.795446,  1.402461,103.787578,"OPERATIONAL","River Wonders","ChIJxZfX_9gT2jERknwK8es7IHU",CQ3R+77 Singapore,6PH5CQ3R+77,"80 Mandai Lake Road",4.4,NA
"63",  1.378464,103.775891,  1.379611,103.777039,  1.376913,103.774341,"OPERATIONAL","Zhenghua Park","ChIJW0wCIAcR2jERAEOR0GhMljA",9QHG+99 Singapore,6PH59QHG+99,"273 Bangkit Road, Singapore",4.3,NA
"64",  1.372014,103.825789,  1.372800,103.828820,  1.369658,103.824779,"OPERATIONAL","Lower Peirce Reservoir Park","ChIJQx3YRtIW2jERTHZ7nC044PM",9RCG+R8 Singapore,6PH59RCG+R8,"",4.5,NA
"65",  1.401133,103.817789,  1.402577,103.819094,  1.399879,103.816396,"OPERATIONAL","Springleaf Nature Park","ChIJH6JsiVUR2jERcH6ybOVyhbs",CR29+F4 Singapore,6PH5CR29+F4,"1230 Upper Thomson Road, Singapore",4.4,NA
"66",  1.398866,103.795957,  1.400215,103.797306,  1.397517,103.794608,"OPERATIONAL","Upper Seletar Reservoir","ChIJ____v18R2jERf_dRfvoonbk",9QXW+G9 Singapore,6PH59QXW+G9,"Upper Seletar Reservoir",4.7,NA
"67",  1.377889,103.780629,  1.379238,103.781978,  1.376540,103.779280,"OPERATIONAL","Piper Hut","ChIJpUADyN0R2jERN-dd6oDeh_M",9QHJ+57 Singapore,6PH59QHJ+57,"Unnamed Road",4.0,NA
"68",  1.385896,103.820020,  1.387245,103.821369,  1.384547,103.818671,"OPERATIONAL","Rambutan trail","ChIJv4MF0TER2jER8KaFS04Otak",9RPC+92 Singapore,6PH59RPC+92,"Aft, Tagore Drive, Thomson Nature Park",NA,NA
"69",  1.371356,103.780514,  1.372520,103.781744,  1.369822,103.779046,"OPERATIONAL","Chestnut Nature Park (Northern Loop)","ChIJD5cb5NUR2jERb0IEtsoy4uI",9QCJ+G6 Singapore,6PH59QCJ+G6,"Chestnut Avenue",4.6,NA
"70",  1.371970,103.780162,  1.373320,103.781410,  1.370622,103.778712,"OPERATIONAL","Chestnut Nature Trail (Loop)","ChIJ-xM-5xoR2jERXRT9ozcB0Ww",9QCJ+Q3 Singapore,6PH59QCJ+Q3,"",4.5,NA
"71",  1.400338,103.806919,  1.401766,103.808322,  1.399068,103.805624,"OPERATIONAL","Heritage Tree - Kapok Tree","ChIJ29EGmDkR2jERouRKrijFEhk",CR24+4Q Singapore,6PH5CR24+4Q,"Upper Seletar Reservoir, Mandai Road",5.0,NA
"72",  1.378590,103.778348,  1.379939,103.779697,  1.377241,103.776999,"OPERATIONAL","Gangsa Track","ChIJ-Vxk2jER2jERL_YA1N1MfQo",9QHH+C8 Singapore,6PH59QHH+C8,"Singapore",4.5,NA
"73",  1.400696,103.806600,  1.402008,103.807949,  1.399310,103.805251,"OPERATIONAL","Rocket Watchtower","ChIJien6vLgR2jERpQriXwtasbU",CR24+7J Singapore,6PH5CR24+7J,"Mandai Road Track 7",5.0,NA
"74",  1.372722,103.779393,  1.373653,103.780856,  1.370955,103.778158,"OPERATIONAL","Leea Hut","ChIJo99oGUAR2jER7PZk7QXlTF4",9QFH+3Q Singapore,6PH59QFH+3Q,"201 Chestnut Avenue",4.0,NA
"75",  1.370775,103.780177,  1.372222,103.781588,  1.369524,103.778890,"OPERATIONAL","Chestnut Nature Park (Southern Loop)","ChIJo4bGLQQR2jER_W-oUWJruj0",9QCJ+83 Singapore,6PH59QCJ+83,"500 Chestnut Avenue, Singapore",4.2,NA
"76",  1.383612,103.821639,  1.384961,103.822988,  1.382263,103.820290,"OPERATIONAL","Thomson Nature Park","ChIJre8p_MoW2jERJBGKw1MsdbY",9RMC+CM Singapore,6PH59RMC+CM,"Upper Thomson Road",4.5,NA
"77",  1.400879,103.807041,  1.402228,103.808390,  1.399530,103.805692,"OPERATIONAL","Upper Seletar Reservoir Park","ChIJcRNpHFwR2jERYHKod6yVMM0",CR24+9R Singapore,6PH5CR24+9R,"Mandai Road Track 7",4.6,NA
"78",  1.371238,103.779538,  1.372588,103.780931,  1.369890,103.778233,"OPERATIONAL","Chestnut Nature Park","ChIJGzodYQYR2jERBKbEaoMOfg8",9QCH+FR Singapore,6PH59QCH+FR,"Chestnut Avenue",4.5,NA
"79",  1.385676,103.821609,  1.387123,103.822859,  1.384425,103.820161,"OPERATIONAL","Thomson Nature Park Main Entrance","ChIJVc2N3CwR2jER9yxxfG7r1rU",9RPC+7J Singapore,6PH59RPC+7J,"Upper Thomson Road, Aft Tagore Dr",4.6,NA
"80",  1.380371,103.822952,  1.381720,103.824301,  1.379022,103.821603,"OPERATIONAL","Macaque Trail and Langur Trail","ChIJs0UekvAX2jERVrPUXdVdeKI",9RJF+45 Singapore,6PH59RJF+45,"828 Upper Thomson Road",5.0,NA
"81",  1.376839,103.776497,  1.378188,103.777846,  1.375490,103.775148,"OPERATIONAL","BKE underpass to Chestnut Drive Park","ChIJHYtxnPcR2jERzsdthbmmBmQ",9QGG+PH Singapore,6PH59QGG+PH,"Bukit Timah Expressway",4.0,NA
"82",  1.373901,103.776523,  1.375250,103.777872,  1.372552,103.775174,"OPERATIONAL","Bukit Panjang Community Garden Trail","ChIJncVYCggR2jER6ksrmuJgvpU",9QFG+HJ Singapore,6PH59QFG+HJ,"210 Petir Road, Block 210",4.2,NA
