"","geometry.location.lat","geometry.location.lng","geometry.viewport.northeast.lat","geometry.viewport.northeast.lng","geometry.viewport.southwest.lat","geometry.viewport.southwest.lng","business_status","name","place_id","plus_code.compound_code","plus_code.global_code","vicinity","rating","permanently_closed"
"1",  1.338008,103.793442,  1.339559,103.795504,  1.333358,103.790281,"OPERATIONAL","The Grandstand","ChIJPXaE0pYQ2jERev7FRC4x-oE",8QQV+69 Singapore,6PH58QQV+69,"200 Turf Club Road",3.9,NA
"2",  1.329899,103.799472,  1.331400,103.800807,  1.328702,103.798109,"OPERATIONAL","Second Avenue Junction","ChIJ3Wd2xqEQ2jERF5qZP76srqY",8QHX+XQ Singapore,6PH58QHX+XQ,"733 Bukit Timah Road, Singapore",3.8,NA
"3",  1.323906,103.809992,  1.325322,103.811250,  1.322624,103.808552,"OPERATIONAL","Coronation Shopping Plaza","ChIJ08duKAYa2jER47-5U4ZdgAo",8RF5+HX Singapore,6PH58RF5+HX,"587 Bukit Timah Road, Singapore",3.8,NA
"4",  1.336427,103.783623,  1.337808,103.784720,  1.335110,103.782022,"OPERATIONAL","Sime Darby Centre","ChIJ1S4qfY8Q2jERgb68gskzUbo",8QPM+HC Singapore,6PH58QPM+HC,"896 Dunearn Road",3.7,NA
"5",  1.342311,103.776342,  1.343685,103.777415,  1.340987,103.774717,"OPERATIONAL","Beauty World Centre","ChIJHwZEaooQ2jERTAhWTymqJUw",8QRG+WG Singapore,6PH58QRG+WG,"144 Upper Bukit Timah Road, Singapore",3.8,NA
"6",  1.338008,103.793442,  1.339434,103.794995,  1.336736,103.792297,"OPERATIONAL","OD Mall","ChIJNedZXhIR2jERMZxnL3i17Dc",8QQV+69 Singapore,6PH58QQV+69,"200 Turf Club Road, North Entrance, The Grandstand",1.8,NA
"7",  1.337983,103.793105,  1.339422,103.794827,  1.336724,103.792129,"OPERATIONAL","QMPINGPONG","ChIJ5e478m8R2jERJZgkVReeR8I",8QQV+56 Singapore,6PH58QQV+56,"200 Turf Club Road, Grandstand #04-20B",NA,NA
"8",  1.337730,103.793542,  1.339178,103.795083,  1.336480,103.792385,"OPERATIONAL","Jungle Cross","ChIJTYGDcjkR2jERW-oEEr115Zk",8QQV+3C Singapore,6PH58QQV+3C,"200 Turf Club Road",NA,NA
"9",  1.338093,103.792234,  1.339449,103.793597,  1.336751,103.790899,"OPERATIONAL","Carmart","ChIJLUxjBx0R2jERhEKoSsv0y7I",8QQR+6V Singapore,6PH58QQR+6V,"210 Turf Club Road, Singapore",NA,NA
"10",  1.337107,103.792618,  1.339148,103.794704,  1.333508,103.791922,"OPERATIONAL","The grandstand car mall","ChIJNycy15AQ2jER6cXnkwu5B4Q",8QPV+R2 Singapore,6PH58QPV+R2,"210 Turf Club Road",3.7,NA
"11",  1.352083,103.819836,  1.353432,103.821185,  1.350734,103.818487,"OPERATIONAL","오차드거리","ChIJKXWzVGYR2jERaJjZXqfbyk8",9R29+RW Singapore,6PH59R29+RW,"Singapore",NA,NA
"12",  1.352083,103.819836,  1.353432,103.821185,  1.350734,103.818487,"OPERATIONAL","Dr Lanka shop","ChIJLeJks38R2jERAG7COK5v7BU",9R29+RW Singapore,6PH59R29+RW,"buggies, central",NA,NA
"13",  1.352083,103.819836,  1.353432,103.821185,  1.350734,103.818487,"OPERATIONAL","Philong","ChIJUXl_EnsR2jERGK_BPEXyEbo",9R29+RW Singapore,6PH59R29+RW,"Singapore",NA,NA
"14",  1.352083,103.819836,  1.353432,103.821185,  1.350734,103.818487,"OPERATIONAL","Beyhan Çıracı","ChIJrfzfQ9QR2jERPYW-HfuxG0I",9R29+RW Singapore,6PH59R29+RW,"Singapore",NA,NA
"15",  1.352083,103.819836,  1.353432,103.821185,  1.350734,103.818487,"OPERATIONAL","水晶灯","ChIJmZzX0qgR2jERcYGaIr6kkKY",9R29+RW Singapore,6PH59R29+RW,"Singapore",NA,NA
"16",  1.352083,103.819836,  1.353432,103.821185,  1.350734,103.818487,"OPERATIONAL","Sddeek Ali","ChIJfc4mdU0R2jERVcgc-JfzK5k",9R29+RW Singapore,6PH59R29+RW,"Singapore",NA,NA
"17",  1.352083,103.819836,  1.353432,103.821185,  1.350734,103.818487,"OPERATIONAL","สรรพสินค้าCentral Water Catchment","ChIJ2Uuf5swQ2jERXd2ZdcWW5YA",9R29+RW Singapore,6PH59R29+RW,"Singapore",3.5,NA
"18",  1.336791,103.783682,  1.337909,103.784926,  1.335211,103.782228,"OPERATIONAL","Oneness Learning Centre","ChIJw7nx3DMR2jERXices0e4tUw",8QPM+PF Singapore,6PH58QPM+PF,"896 Dunearn Road, #04-06, Link@896",NA,NA
"19",  1.336791,103.783682,  1.337874,103.784757,  1.335176,103.782059,"OPERATIONAL","Link@896","ChIJaSJ6JwMR2jERSxdVgdNe2xY",8QPM+PF Singapore,6PH58QPM+PF,"896 Dunearn Road",3.7,NA
"20",  1.339136,103.779211,  1.340485,103.780560,  1.337787,103.777862,"OPERATIONAL","IndoStop Bukit Timah Plaza","ChIJ6UnIxzkR2jERH88_s964U0Q",8QQH+MM Singapore,6PH58QQH+MM,"1 Jalan Anak Bukit, #01-17",5.0,NA
"21",  1.338747,103.778676,  1.340115,103.780195,  1.337417,103.777497,"OPERATIONAL","Bukit Timah Plaza","ChIJ_SyS-3sR2jERJiN0mIkzEW8",8QQH+FF Singapore,6PH58QQH+FF,"1 Jalan Anak Bukit, Singapore",3.9,NA
"22",  1.337024,103.779432,  1.338267,103.780665,  1.335569,103.777967,"OPERATIONAL","KAP Mall","ChIJyWSEZTMX2jERY7_UfsKdFhI",8QPH+RQ Singapore,6PH58QPH+RQ,"9 King Albert Park, Singapore",4.0,NA
"23",  1.343112,103.776078,  1.344760,103.777336,  1.342062,103.774638,"OPERATIONAL","Seraph lab","ChIJp4bKvBoR2jERE0Nxk-woWYs",8QVG+6C Singapore,6PH58QVG+6C,"170 Upper Bukit Timah Road, #05-04",NA,NA
